"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81"
0.06162984963801745,0.033228141822906995,0.12363096343048079,0.16836829404121031,0.16799702988676443,0.17523668089845926,0.15778726563950252,0.08316317059587897,0.027659179506218674,0.0012994245405606088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05414518048393495,0.02816342721142404,0.09163030543435145,0.10928203094010314,0.15430384767949226,0.15251884172947244,0.16739389131297105,0.13804046013486712,0.0811186037286791,0.022015073383577947,0.001190003966679889,1.9833399444664816e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.055115961800818555,0.039836289222373804,0.06821282401091405,0.06766712141882673,0.1053206002728513,0.12742155525238744,0.14733969986357434,0.14979536152796727,0.13669849931787176,0.07803547066848568,0.023465211459754432,0.001091405184174625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0433046683046683,0.03224815724815725,0.07125307125307126,0.05958230958230958,0.08384520884520885,0.09213759213759214,0.12837837837837837,0.12100737100737101,0.1541769041769042,0.11916461916461916,0.07278869778869779,0.0214987714987715,6.142506142506142e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04510108864696734,0.019440124416796267,0.05443234836702955,0.05171073094867807,0.06259720062208399,0.0734836702954899,0.09914463452566097,0.12986003110419908,0.11625194401244168,0.1411353032659409,0.12363919129082426,0.057931570762052874,0.022161741835147745,0.003110419906687403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05024455313472655,0.018674966651845263,0.04090706980880391,0.044019564250778125,0.05113383726100489,0.04490884837705647,0.06447309915518008,0.06669630947087594,0.11560693641618497,0.12049799911071588,0.16007114273010226,0.12939084037349932,0.07114273010226767,0.0213428190306803,8.892841262783459e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.057908847184986595,0.019839142091152815,0.035924932975871314,0.024128686327077747,0.03967828418230563,0.03806970509383378,0.0353887399463807,0.04504021447721179,0.08203753351206435,0.1319034852546917,0.12064343163538874,0.14584450402144772,0.1319034852546917,0.06916890080428954,0.02091152815013405,0.0016085790884718498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07969348659003832,0.021455938697318006,0.021455938697318006,0.017624521072796936,0.022988505747126436,0.03218390804597701,0.029885057471264367,0.04367816091954023,0.05440613026819923,0.07662835249042145,0.10727969348659004,0.12030651340996168,0.14329501915708812,0.1111111111111111,0.08888888888888889,0.022988505747126436,0.006130268199233717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06766325727773406,0.040912667191188044,0.024390243902439025,0.02832415420928403,0.014162077104642014,0.025963808025177025,0.022816679779701022,0.01966955153422502,0.03540519276160504,0.05507474429583006,0.06923682140047208,0.11723052714398112,0.12588512981904013,0.14948859166011014,0.11880409126671912,0.05664830841856806,0.025177025963808025,0.0023603461841070024,7.867820613690008e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.045283018867924525,0.024150943396226414,0.05886792452830188,0.03245283018867925,0.013584905660377358,0.019622641509433963,0.025660377358490565,0.022641509433962263,0.017358490566037735,0.033962264150943396,0.03169811320754717,0.08377358490566038,0.10566037735849057,0.11547169811320755,0.13132075471698113,0.13811320754716983,0.07245283018867925,0.026415094339622643,0.0015094339622641509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
